meterID,gap_start,gap_end,missing_intervals,duration_hours
1,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
2,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
3,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
4,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
5,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
6,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
7,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
8,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
9,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
10,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
11,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
12,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
13,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
14,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
15,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
16,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
17,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
18,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
19,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
20,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
21,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
22,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
23,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
24,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
25,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
26,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
27,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
28,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
30,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
31,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
32,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
33,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
34,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
35,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
36,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
37,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
38,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
39,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
40,2016-03-27 23:00:00,2016-03-27 23:45:00,4,1.0
